Study,Latitude; Longitude ,Year(s),Mean age  (yrs),Children/Adults/Both
Ladeia-Andrade 2016,"07°37?S (-7.617°);
72°40?W (-72.667°)",November 2010 to February 2013,26.6,B
Olivera 2019,"~5°42?N (5.7°);
~76°39?W (-76.65°)",July 2018 to February 2019,27.5,B
Teklemariam 2015,"14°17?N (14.283°);
36°37?E (36.617°)",October 2014 to January 2015,15.13,B
Vanheer 2025,"~12°22?N (12.37°);
~8°5?W (-8.08°)",2019,NA,NA
Tesfaye 2024,"08°54?N (8.9°);
39°55?E (39.917°)",November 2020 to March 2021,17.7,B
Ippolito 2020,~9°18?S (-9.30°); ~28°42?E (28.70°),December 2014 to July 2015,NA,C
Getnet 2013,"~12°48?N (12.80°);
 ~37°24?E (37.40°)",January to May 2013,NA,B
Atroosh 2014,"Hodeidah Province:
~14°46?N (14.77°);
~43°15?E (43.25°)

Al-Mahwit Province:
~15°15?N (15.25°);
~43°43?E (43.72°)",March to May 2014,12.4,B
Djimde 2016,"~11°24'N (11.4°);
8°12'W (8.2°)",December 2010 to March 2011,NA,C
Myint 2014,"Tamu (near India border):
 24°12'N (24.2°);
 94°15'E (94.25°)

Muse (near China border):
23°42'N (23.7°);
97°51'E (97.85°)

Tabeikkyin (central location):
22°27'N (22.45°); 95°57'E
(95.95°)","Period 1: 2011-2012
Muse studies: September 2011 – September 2012
Tamu studies: June – October 2012

Period 2: 2014
Tabeikkyin studies: May – November 2014
Tamu study: May – November 2014",NA,NA
Kyaw Myo Tun 2015,"16°18'N (16.3°);
98°24'E (98.4°)",November 2013 to February 2015,NA,B
Vantaux 2020,"13°44'N (13.73°);
106°59'E (106.98°)",2015-2016,NA,NA
Thriemer 2014,"15°11'N (15.18°);
108°01'E (108.02°)",September 2012 to February 2013,NA,B
Rovira-Vallbona 2020,"14°08'N (14.13°);
108°11'E (108.18°)",April 2015 to January 2017,NA,B
Lin  2017,"14°14'28.93""N (14.2413707°); 104°5'39.57""E (104.0943247°)",December 2012 – February 2014,NA,A
Carrara 2009,"16°43'0.01""N (16.71667°); 98°34'0.01""E (98.56667°)",January 1995 to December 2007,NA,B
Yao 2023,"5°33'21.67""N (5.55602°); 0°11'48.84""W (0.1969°)",June to November 2018,NA,C
